start time: Mon Sep  5 00:12:04 2022
===== model config =====
id: 7924
input_img_resize: 64
epochs: 151
lr: 0.001
batch_size: 16
========================
eopch, train loss, train acc, test loss, test acc
0, 2.1125, 0.2982, 1.6504, 0.4705
1, 1.5875, 0.4493, 1.7556, 0.5401
2, 1.2834, 0.5591, 0.9332, 0.6772
3, 1.1144, 0.6274, 0.9434, 0.7184
4, 0.8933, 0.6989, 0.8205, 0.7321
5, 0.802, 0.7264, 0.9729, 0.712
6, 0.6671, 0.7768, 0.935, 0.7363
7, 0.6168, 0.7908, 0.8131, 0.7574
8, 0.5268, 0.8145, 0.6568, 0.7964
9, 0.4877, 0.8272, 0.6182, 0.8091
10, 0.428, 0.853, 0.7562, 0.7911
11, 0.4079, 0.8522, 0.6315, 0.8059
12, 0.4025, 0.8557, 0.388, 0.8681
13, 0.3759, 0.8781, 0.3228, 0.8861
14, 0.3064, 0.89, 0.3026, 0.8966
15, 0.3301, 0.8842, 0.3451, 0.8819
16, 0.3219, 0.8852, 0.6031, 0.7975
17, 0.3162, 0.8926, 0.3603, 0.866
18, 0.2633, 0.9066, 0.3418, 0.8914
19, 0.243, 0.9127, 0.2868, 0.9008
20, 0.2313, 0.9153, 0.4644, 0.8597
21, 0.2573, 0.9079, 0.3051, 0.9051
22, 0.2274, 0.9174, 0.2901, 0.9051
23, 0.2226, 0.9182, 0.2672, 0.9262
24, 0.2001, 0.9256, 0.1943, 0.9409
25, 0.2104, 0.9198, 0.3072, 0.9072
26, 0.1965, 0.9298, 0.2313, 0.9283
27, 0.1766, 0.9385, 0.1865, 0.9335
28, 0.1875, 0.9343, 0.5937, 0.8302
29, 0.1684, 0.9398, 0.1927, 0.9293
30, 0.1756, 0.9346, 0.2606, 0.9124
31, 0.1409, 0.9446, 0.2499, 0.9019
32, 0.1276, 0.9525, 0.1532, 0.9525
33, 0.1504, 0.9427, 0.1737, 0.9473
34, 0.1473, 0.9454, 0.3011, 0.9146
35, 0.1496, 0.947, 0.1583, 0.943
36, 0.12, 0.9541, 0.1684, 0.9409
37, 0.1362, 0.9499, 0.1819, 0.943
38, 0.1152, 0.9554, 0.1468, 0.9525
39, 0.1055, 0.9612, 0.1576, 0.9525
40, 0.1164, 0.9525, 0.15, 0.9473
41, 0.1285, 0.9544, 0.4823, 0.8808
42, 0.1004, 0.9639, 0.2186, 0.9283
43, 0.1097, 0.9573, 0.1754, 0.9515
44, 0.0921, 0.962, 0.1334, 0.9536
45, 0.1008, 0.962, 0.1642, 0.9483
46, 0.0902, 0.9707, 0.1589, 0.9525
47, 0.1088, 0.9636, 0.278, 0.9177
48, 0.1152, 0.9583, 0.1351, 0.9589
49, 0.0958, 0.9681, 0.2278, 0.9346
