start time: Tue Sep  6 01:27:21 2022
===== model config =====
id: 98841
input_img_resize: 64
epochs: 151
lr: 0.001
batch_size: 16
num_blocks: [3, 4, 23, 3]
cardinality: 64
bottleneck_width: 4
========================
eopch, train loss, train acc, test loss, test acc
0, 2.8979, 0.1331, 2.6263, 0.2405
1, 2.5644, 0.179, 2.2841, 0.1927
2, 2.2899, 0.2352, 2.3848, 0.3305
3, 2.0687, 0.294, 1.8216, 0.3994
4, 1.9682, 0.3273, 1.6977, 0.4093
5, 1.8123, 0.3712, 2.4136, 0.3502
6, 1.7267, 0.3988, 1.4643, 0.526
7, 1.6478, 0.4294, 1.7437, 0.5049
8, 1.5699, 0.4519, 1.9249, 0.4191
9, 1.4623, 0.4847, 1.755, 0.5049
10, 1.3739, 0.512, 1.0362, 0.6329
11, 1.2474, 0.5607, 1.0353, 0.6456
12, 1.1725, 0.5908, 1.9397, 0.5443
13, 1.1119, 0.6186, 0.9775, 0.6568
14, 1.0426, 0.6442, 1.0427, 0.6596
15, 0.968, 0.6618, 0.8741, 0.699
16, 0.8965, 0.6896, 0.8005, 0.6976
17, 0.8648, 0.7013, 0.8576, 0.7426
18, 0.8044, 0.7221, 0.9175, 0.706
19, 0.7699, 0.7323, 1.1302, 0.7314
20, 0.7251, 0.734, 0.906, 0.737
21, 0.6998, 0.7584, 0.9854, 0.685
22, 0.678, 0.7643, 1.0355, 0.7707
23, 0.6304, 0.7847, 0.5169, 0.8453
24, 0.6021, 0.7887, 0.9248, 0.8003
25, 0.6014, 0.7902, 0.3551, 0.8678
26, 0.5649, 0.7946, 0.4798, 0.8523
27, 0.5633, 0.7974, 0.4135, 0.8537
28, 0.5359, 0.8098, 0.5052, 0.8537
29, 0.5093, 0.8229, 0.8396, 0.8383
30, 0.5152, 0.8222, 0.3671, 0.8579
31, 0.5013, 0.8247, 0.3807, 0.872
32, 0.4854, 0.8296, 0.4437, 0.8622
33, 0.4543, 0.8359, 0.4434, 0.8411
34, 0.461, 0.8391, 0.2894, 0.8931
35, 0.4275, 0.8458, 0.341, 0.8833
36, 0.4198, 0.8552, 0.4554, 0.8706
37, 0.4265, 0.8505, 0.4025, 0.8861
38, 0.4149, 0.8567, 0.4021, 0.8889
39, 0.4006, 0.8562, 0.2525, 0.9044
40, 0.401, 0.8602, 0.3036, 0.8861
41, 0.3761, 0.8691, 0.283, 0.8875
42, 0.3496, 0.8748, 0.5165, 0.8354
43, 0.3365, 0.8766, 0.2773, 0.8945
44, 0.3239, 0.8828, 0.3334, 0.8917
45, 0.3635, 0.8667, 0.2604, 0.8973
46, 0.3397, 0.8763, 0.3186, 0.8959
47, 0.3183, 0.8875, 0.2221, 0.9198
48, 0.346, 0.8736, 0.2364, 0.9128
49, 0.3148, 0.8922, 0.2544, 0.9044
50, 0.3282, 0.8791, 0.2376, 0.9142
51, 0.3142, 0.8892, 0.2402, 0.9212
52, 0.3107, 0.8955, 0.242, 0.9015
53, 0.2896, 0.8922, 0.2657, 0.9001
54, 0.2986, 0.889, 0.2899, 0.9058
55, 0.3143, 0.8845, 0.204, 0.9269
56, 0.2995, 0.8942, 0.2086, 0.9142
57, 0.277, 0.9024, 0.3682, 0.91
58, 0.2828, 0.8945, 0.2598, 0.9001
59, 0.2847, 0.8974, 0.3986, 0.9156
60, 0.27, 0.8989, 0.3338, 0.9241
61, 0.2839, 0.896, 0.283, 0.9044
62, 0.2594, 0.9069, 0.2913, 0.8973
63, 0.2662, 0.9027, 0.2139, 0.9339
64, 0.2563, 0.9076, 0.2024, 0.9325
65, 0.2646, 0.9074, 0.2116, 0.9226
66, 0.2458, 0.9113, 0.208, 0.9226
67, 0.2355, 0.9156, 0.2369, 0.9297
68, 0.2449, 0.9143, 0.2374, 0.9198
69, 0.2518, 0.9061, 0.2232, 0.9142
70, 0.2576, 0.9044, 0.2622, 0.9184
71, 0.2204, 0.9185, 0.2296, 0.9226
72, 0.244, 0.9131, 0.2279, 0.9269
73, 0.2202, 0.9225, 0.1951, 0.9297
74, 0.2092, 0.9253, 0.1985, 0.9269
75, 0.2119, 0.924, 0.21, 0.9226
76, 0.2294, 0.9225, 0.2246, 0.9311
77, 0.2115, 0.9166, 0.1713, 0.9297
78, 0.2089, 0.9243, 0.2075, 0.9255
79, 0.2024, 0.9305, 0.1997, 0.9325
80, 0.2056, 0.925, 0.186, 0.9297
81, 0.2194, 0.9168, 0.2054, 0.9269
82, 0.2037, 0.929, 0.2504, 0.9184
83, 0.2117, 0.924, 0.1949, 0.9226
84, 0.2112, 0.9198, 0.1867, 0.9297
85, 0.1951, 0.9322, 0.178, 0.9297
86, 0.1901, 0.9297, 0.2048, 0.9184
87, 0.2115, 0.9233, 0.239, 0.917
88, 0.1928, 0.931, 0.2102, 0.9241
89, 0.1901, 0.9305, 0.1377, 0.9437
90, 0.1957, 0.9312, 0.2034, 0.9226
